Proveedor o contratista,Importe del contrato
Enerlogic S A P I De Cv,254.77221219999998
Dewimed Sa,275.77838699
Servicio Y Venta De Insumos Medicos Especiali,304.02373802
Radiologia Y Electronica De Mexico Sa De Cv,365.80135687
Casonato Steelco Spa Sa De Cv,366.843432
Human Corporis Sa De Cv,426.765683
Electronica Y Medicina Sa,445.60963626999995
Healthcare Systems De Mexico Sa De Cv,512.09383707
Ge Sistemas Medicos De Mexico Sa De Cv,558.3438399600001
Siemens Healthcare Diagnostics S De Rl De Cv,627.38745553
